customername,email,phone,birthday,serialnumber,registrationdate,lastupdatedate,sharewithresearchasofdate,sharewithpublicasofdate
Frank Doshi,Frank.Doshi@test.com,8015551212,1/1/1965,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Trevor Lincoln,Trevor.Lincoln@test.com,8015551212,1/1/1964,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,
Sean Clayton,Sean.Clayton@test.com,8015551212,1/1/1963,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,
Travis Spencer,Travis.Spencer@test.com,8015551212,1/1/1961,94867fb9-570d-4031-b319-8a9d3b8c1c20,1.65529E+12,1.65529E+12,1.65529E+12,
Bobby Huey,Bobby.Huey@test.com,8015551212,1/1/1959,94867fb9-570d-4031-b319-8a9d3b8c1c20,1.65529E+12,1.65529E+12,1.65529E+12,
Jane Gonzalez,Jane.Gonzalez@test.com,8015551212,1/1/1958,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,
Jaya Doshi,Jaya.Doshi@test.com,8015551212,1/1/1957,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Ashley Clayton,Ashley.Clayton@test.com,8015551212,1/1/1956,5dd97793-c30e-4b8c-b73f-e4132914495f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Trevor Wu,Trevor.Wu@test.com,8015551212,1/1/1955,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Abram,Bobby.Abram@test.com,8015551212,1/1/1954,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
Suresh Mitra,Suresh.Mitra@test.com,8015551212,1/1/1953,f3161efa-b3ab-49db-8561-f23e1ffc791f,1.65529E+12,1.65529E+12,1.65529E+12,
Spencer Harris,Spencer.Harris@test.com,8015551212,1/1/1951,bdfc0926-a6cb-4567-8798-fd003dd5fadf,1.65529E+12,1.65529E+12,1.65529E+12,
Jerry Harris,Jerry.Harris@test.com,8015551212,1/1/1950,b2892f78-f4bb-49ec-87fc-09d0f443596e,1.65529E+12,1.65529E+12,1.65529E+12,
Jane Wu,Jane.Wu@test.com,8015551212,1/1/1949,938516ed-1680-49f5-993a-6187bf0a1eab,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Clark,Christina.Clark@test.com,8015551212,1/1/1947,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Travis Clayton,Travis.Clayton@test.com,8015551212,1/1/1946,938516ed-1680-49f5-993a-6187bf0a1eab,1.65529E+12,1.65529E+12,1.65529E+12,
Jaya Olson,Jaya.Olson@test.com,8015551212,1/1/1945,2e34a651-5e26-4280-b30b-9f2066496a89,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Hansen,Gail.Hansen@test.com,8015551212,1/1/1944,a6cd85aa-09fa-4e9c-b28d-38881f6efc3c,1.65529E+12,1.65529E+12,1.65529E+12,
Gail Anandh,Gail.Anandh@test.com,8015551212,1/1/1941,9c0b4b10-9fb4-4a5c-9f69-7a6c796f1256,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Santosh Harris,Santosh.Harris@test.com,8015551212,1/1/1939,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jerry Wu,Jerry.Wu@test.com,8015551212,1/1/1933,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Danny Lincoln,Danny.Lincoln@test.com,8015551212,1/1/1931,4ad3c0da-38a9-48f9-9d99-766a717a774c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jacob Clayton,Jacob.Clayton@test.com,8015551212,1/1/1926,f831cb34-4ef3-42cf-9ee7-a0240b515f33,1.65529E+12,1.65529E+12,1.65529E+12,
Jacob Aristotle,Jacob.Aristotle@test.com,8015551212,1/1/1925,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,
Santosh Harris,Santosh.Harris@test.com,8015551212,1/1/1922,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Sarah Sanchez,Sarah.Sanchez@test.com,8015551212,1/1/1919,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Craig Ahmed,Craig.Ahmed@test.com,8015551212,1/1/1918,a9c6b46b-01d8-4f86-a8ed-b1bde922932e,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Ben Wu,Ben.Wu@test.com,8015551212,1/1/1917,11b7090f-e244-448b-9807-f74f2762bb6d,1.65529E+12,1.65529E+12,1.65529E+12,
Ashley Anandh,Ashley.Anandh@test.com,8015551212,1/1/1916,5fe9200a-fd9b-4c09-9037-9ed5d14d6f6a,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
David Clark,David.Clark@test.com,8015551212,1/1/1915,5fe9200a-fd9b-4c09-9037-9ed5d14d6f6a,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Ahmed,Christina.Ahmed@test.com,8015551212,1/1/1912,17486ebd-4c5d-4e84-b592-d1765bacf628,1.65529E+12,1.65529E+12,1.65529E+12,
Senthil Lincoln,Senthil.Lincoln@test.com,8015551212,1/1/1909,17486ebd-4c5d-4e84-b592-d1765bacf628,1.65529E+12,1.65529E+12,1.65529E+12,
Liz Anandh,Liz.Anandh@test.com,8015551212,1/1/1907,b8a9332d-39f7-4994-a299-d60a747d288b,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Craig Howard,Craig.Howard@test.com,8015551212,1/1/1906,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,
Santosh Olson,Santosh.Olson@test.com,8015551212,1/1/1904,a6cd85aa-09fa-4e9c-b28d-38881f6efc3c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
John Clark,John.Clark@test.com,8015551212,1/1/1903,51439e39-27f8-4c04-95e3-dea5a6c4f7c1,1.65529E+12,1.65529E+12,1.65529E+12,
Jane Staples,Jane.Staples@test.com,8015551212,1/1/1902,bdfc0926-a6cb-4567-8798-fd003dd5fadf,1.65529E+12,1.65529E+12,1.65529E+12,
Ashley Jackson,Ashley.Jackson@test.com,8015551212,1/1/1900,fc868710-172e-408b-895d-ba0a5406e4da,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Mitra,Frank.Mitra@test.com,8015551212,1895-01-01,773b5821-b992-4307-b738-d511b9e0a406,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jerry Jackson,Jerry.Jackson@test.com,8015551212,1891-01-01,bbff8516-ac15-4c1e-8215-df921995e043,1.65529E+12,1.65529E+12,1.65529E+12,
Trevor Habschied,Trevor.Habschied@test.com,8015551212,1889-01-01,159a908a-371e-40c1-ba92-dcdea483a6a2,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Christina Mitra,Christina.Mitra@test.com,8015551212,1885-01-01,a6cd85aa-09fa-4e9c-b28d-38881f6efc3c,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Davis,Frank.Davis@test.com,8015551212,1884-01-01,3fe69104-657e-45a1-bd6e-fece3e42de85,1.65529E+12,1.65529E+12,1.65529E+12,
Manoj Spencer,Manoj.Spencer@test.com,8015551212,1883-01-01,3fe69104-657e-45a1-bd6e-fece3e42de85,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Frank Wu,Frank.Wu@test.com,8015551212,1880-01-01,2bc01cbe-2ea2-4603-b91a-5989b915d392,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Bobby Clark,Bobby.Clark@test.com,8015551212,1879-01-01,54b577cf-bb80-4019-9e1c-5f9c53c4745f,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
Jason Jefferson,Jason.Jefferson@test.com,8015551212,1878-01-01,74db2795-a19f-48c6-bc20-a8660525dad3,1.65529E+12,1.65529E+12,1.65529E+12,1.65529E+12
